date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-30, Junior Engineer,Pune,"Former Employee, more than 3 years","Good atmosphere, Chilled out but less salary","1. Workforce involves freshers so highly energetic and cool environment.
","1. Boot licking prevails
2. unfair hikes and promotions
3. Less salary
Advice to Management
Increase hikes so that employees stay and not leave
Be the first to find this review helpful
Helpful
Share
Repor","Increase hikes so that employees stay and not leave
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Disagree,Agree,Disagree
2021-09-30,Anonymous,,Former Employee,Procurement specialist,"Good to start your career,
to understand basic supply chain principles
","monotonous work need struggle to find new opportunities
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-29, Team Leader,Pune,"Current Employee, more than 5 years",Good,"Good working culture and flexible
","Too much competition in management
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-09-29, Senior Materials Manager,"Milpitas, CA",Current Employee,"Great company, high complexity","* Great opportunities to grow
* Great opportunity to learn and develop skills
","* Need to work overtime
* Work under high pressure
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Neutral
2021-09-29, Team Lead,,"Former Employee, more than 3 years",Team Lead,"1) Awesome work culture.
2) Open discussions with seniors on any professional queries
3) Good remunerations.
","1) Constant burden of work.
Advice to Management
NA
Be the first to find this review helpful
Helpful
Share
Repor","NA
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-09-29, Engineer,Chennai,"Current Employee, more than 3 years",.,"Very good company for beginners
","Employment benifits are not there
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Neutral
2021-09-29, Procurement Specialist,Pune,Current Employee,Good company to work,"Good company to work with.
","Less salary, besides that everything is good.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-28, Process Engineer,,"Current Employee, less than 1 year",Challenging,"Good place to learn work culture
","Do not trust anyone here
Advice to Management
Be fair to the salary between different races
Be the first to find this review helpful
Helpful
Share
Repor","Be fair to the salary between different races
Be the first to find this review helpful
Helpful
Share
Repor",2.0,Agree,Agree,Disagree
2021-09-28, Service Technician,"Santa Clara, CA",Current Employee,Technician,"If you want to work life flex is the company.
","Low paid and very low on anu rate base.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-28,Anonymous,,Current Employee,Good company to start your career,"Good environment to work.
More opportunity to explore knowledge on supply chain.
","Working in cooperate office wont be getting hand on experience on production environment.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-28, Senior Procurement Analyst,Pune,"Current Employee, more than 3 years",Not a good company for growth,"Company culture, company location, nothing.
","Less Salary hike, office politics, Extra working hours, No growth
Be the first to find this review helpful
Helpful
Share
Repor",,1.0,Disagree,Neutral,Disagree
2021-09-27, Electrical Engineer,"Milpitas, CA",Current Employee,NA,"People are very professional and work hard to deliver results.
","Most engineers are unqualified for the duties they perform.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-27, Senior Business Analyst,Pune,Current Employee,Best place to work with.,"Best work-life balance. Team environment is best and conducive
","Need to leverage on skills development
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-26, Specialist,Chennai,Current Employee,Great company,"Great Culture and salary and women safety
","Not much of cons about the company
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-26, Junior Engineer,,"Current Employee, less than 1 year",Document change analyst,"Good working culture and encourages initiatives
","Cons will be working on night shifts
Advice to Management
Good
Be the first to find this review helpful
Helpful
Share
Repor","Good
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Agree,Agree
2021-09-25,Anonymous,,"Current Employee, more than 8 years",Great Place to Work,"Excellent Culture of the Company
","Better Best Practice Sharing across different Sites need to improve
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-25, Operator,Bayan Lepas,"Former Employee, less than 1 year",Not bad,"environment is okay and the facility they provide was good
","- - - - - - -
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-09-24, Process Engineering Manager,"Memphis, TN","Former Employee, more than 5 years","A Stepping Stone at Best, a Grave Stone at Worst","The pay is not bad and there is a lot to do, which should translate to a lot of experience and potential opportunities down the road, in theory.
","You want stress? They got stress. 

You want work life balance? I wish you luck. 

TL;DR Flex has a terrible culture and work environment.

In Memphis they do 3rd party logistics (3PL). That means doing contract work for Flex to provide services for big name brands at rock bottom prices. Upper management underbids contracts to win them and then overworks everyone to try to fulfill them. 10-20% of the people do about 80-90% of the work. 

Middle management's main job is to make excuses to customers and upper management for why Flex can't deliver at the level they agreed to in the first place. SPOILER: It's because upper management agreed to deliver Ferrari results on a Fiat budget, but saying that out loud is just a different way of saying ""I wish to resign my position effective immediately."" So no one does. Everyone is in it for the money and everyone in middle and upper management is exclusively in it for themselves. 

The half-life for management is 6 months to a year.

Flex will never change this business model and that is why these contracts and the Memphis site are doomed to failure or perpetual struggle. Flex closed all of their other service sites across the country. Memphis is the last one, and it is always hanging on by a thread. There is one main account keeping that site alive, and that account has been on life support for like 20 years. They are almost always talking about pulling the plug. If you know, you know. 

Flex and its customers have no problem working anyone to death if you let them. Their pandemic response is proof of that. They made people they could have easily let continue to work from home come back in way too soon and a lot of people got COVID-19 that did not have to as a direct result of that. As usual, Flex lied about it and claimed no one got COVID-19 inside the building, but of course they would say that. The State of Tennessee passed liability protections designed to protect businesses from COVID-19 lawsuits in the Summer of 2020 right after Flex Memphis made everyone come back on site. They do not care if you die because they can't even be sued if their negligence gets you killed by COVID-19 thanks to Tennessee's crooked government. 

Outside of IT, it is not a good idea to try to stay there long term. Doing so could literally destroy your life. IT does pretty well, but the overall environment is not the best in part because everyone hates their job since it is impossible to meet the demands with any consistency, and in part because their senior leadership is hired and retained based entirely on their willingness and ability to ignore reality, smile, and lie through their teeth about anything and everything.
Advice to Management
Glassdoor Community Guidelines prohibit aggressive language and profanities, so I guess I have no advice for management at this time.
Be the first to find this review helpful
Helpful
Share
Repor","Glassdoor Community Guidelines prohibit aggressive language and profanities, so I guess I have no advice for management at this time.
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Disagree,Disagree
2021-09-24, Senior Analyst ,,"Current Employee, more than 3 years",Flex Pune,"Good work environment.
Great opportunities to lean new things.
","Management not good.
Promotion given to the person in good books of manager
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-23, Director,Perai,"Former Employee, more than 5 years",Placed importance in inclusivity and deversity and positive culture experience.,"very good learning experience for the work that's being done. Has many resources to upgrade your skills.
","As any EMS, it is more challenging to manage multiple customer expectations and pressures that comes with it.
Advice to Management
Keep up the good work on the inclusivity and diversity. Right culture is important for the success of Flex.
Be the first to find this review helpful
Helpful
Share
Repor","Keep up the good work on the inclusivity and diversity. Right culture is important for the success of Flex.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,N/A,Agree,Agree
2021-09-23, Communication Specialist,,"Former Employee, more than 1 year",Fun place to work,"The HR Department is a fun place to work. You get to understand a lot about the organisation and also get to work directly with the leadership. Your experience in general will be based on which team within the HR Department you join.
","Processes could be a bit slow.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,N/A,N/A
2021-09-22, Specialist,,"Current Employee, more than 3 years",Great place to work,"Good team and management support, friendly environment
","Salary is not upto market standards
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,N/A,N/A
2021-09-22, Manager Human Resources,Chennai,Current Employee,Human Resource Manager,"To be on top of the world
Have to be updated on a regular basis
Liaising partner & compliance
Active Listener
","Being Empathetic
Honest is my policy
Caring for others
Humble towards others
Straight forward in attitude
Unselfish & extrovert
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-20, Senior Software Engineer,"Markham, ON","Current Employee, more than 10 years",Good place to grow,"Systematic growth is guaranteed as there's a suffisticated plan for every employee!
","Not offering %100 remote work
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,N/A,N/A,N/A
2021-09-20, Data Analyst,Pune,Current Employee,nice,"It is nice working here.
","Knowledge exposure is limited here.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-20, Software Architect,,"Former Employee, more than 1 year",Good place to work,"Casual environment, decent benefits and PTO
","Lots of work sometimes, no RSU
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,N/A
2021-09-19,Anonymous,,"Former Employee, more than 5 years",great,"always good to work in flex
","no words to describe about it
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
