token,frequency
the person,4
presentation,77
report,97
governance,27
an ambition,6
hand,32
sustainable growth,14
the responsible energy,16
energy,153
world,11
strong hydrocarbon,3
production,412
growth,44
discipline,5
spend,3
an organizational structure,7
ambition,30
nonﬁnancial performance,1
model,30
health,73
safety,123
change,83
support,35
corruption,52
tax,118
evasion,13
third partys report,7
overview,5
ﬁscal year,8
exploration,94
segment,245
refining,38
marketing,29
plant,81
equipment,68
arbitration,9
control,64
risk,152
management,289
total,172
information,203
capital,273
incorporation,22
other information,14
historical financial information,2
additional information,15
consolidated statement,9
income,237
statement,43
corporate governance,31
compensation,107
the administration,33
related party,11
consolidated balance,3
sheet,76
cash,187
flow,143
equity,224
supplemental oil,1
gas,422
oil,302
pursuant,59
other ﬁnancial information,3
parent,21
company,123
other financial information,5
reference,36
this translation,1
a non binding,1
translation,56
certification,6
the convenience,5
this purpose,2
knowledge,16
the information,52
référence,4
accordance,166
no omission,1
import,3
applicable accounting,1
a fair view,2
financial position,15
the consolidation,15
the rapport,1
gestion,1
the cross,2
list,8
page,2
the development,74
performance,168
the business,43
a completion,1
letter,3
state,12
the financial situation,2
read,1
entirety,1
this version,1
the version,1
general regulation,1
i,9
the deletion,1
the last line,1
chapter,116
section,12
decision,35
the vote,3
the twelfth resolution,1
the authorization,18
share,388
subscription,57
purchase,37
the rectification,1
future production,7
future development,3
area,38
the remainder,2
a financial operation,1
a transaction,4
note,68
this document,12
the issuer,15
major energy,3
player,7
stable governance,2
collective ambition,3
the energy,47
sector,32
a clear strategy,2
long standing,2
strong identity,3
the strength,3
business,178
presence,10
key,5
future growth,1
liquidity,14
outlook,13
targeted investment,2
policy,111
continuous improvement,4
an operational structure,2
international oil,3
a producer,1
a century,2
a presence,16
a major energy,2
natural gas,102
low carbon,33
electricity,88
the exploration,15
the distribution,15
the end,121
customer,11
diverse shareholder,1
base,13
an essential resource,1
society,2
view,10
todays world,1
a key role,1
the support,8
a diverse shareholder,1
the shareholder,15
spread,5
the world,40
employee,103
project,98
refer,76
structure,27
shareholder,16
type,17
treasury,47
the survey,5
bearer,8
that date,11
the basis,57
shareholding,1
the total share,3
the number,83
a french limited liability,2
group,58
market,109
capitalization,10
director,67
average seniority,1
average age,2
the director,45
the employee,8
point,81
b,219
implementation,22
investment,37
concern,22
the proper running,1
the management,51
the quality,33
the work,43
diversity,47
complementarity,1
experience,14
expertise,16
account,93
the position,13
term,66
office,75
year,200
period,102
an equal period,1
mandate,7
a director,22
the decision,14
work,92
the interest,13
compliance,76
organization,30
modus,2
operandi,2
the oil,48
the advantage,4
specific attention,1
the balance,35
power,38
every year,7
composition,9
a high level,11
independence,25
the full involvement,1
meeting,86
the appointment,19
case,35
the combination,3
permanent contact,1
any important matter,1
the running,1
executive,51
regular contact,2
team,4
site,58
a practical understanding,1
structured governance,5
dence,2
date,128
service,118
van,20
der,20
attendance,13
rate,202
session,6
a presentation,6
present,3
dividend,86
adjusted net income,7
debt,56
ﬂow,4
net,65
return,32
average capital,14
ratio,28
a definition,1
the various performance,1
this chapter,80
approval,43
geographic area,4
kbd,15
installed power,1
capacity,60
a kbd,2
crude distillation,2
unit,30
the average impact,2
regular repair,2
maintenance,15
product,25
kt,6
petroleum,66
region,16
trading,85
a refer,5
an integrated energy,1
international presence,1
goal,5
development,105
a vehicle,1
progress,29
contribution,21
the scope,42
significant contribution,1
decent work,6
climate,69
access,42
a source,5
the condition,2
social development,6
the improvement,16
the standard,6
living,5
the developing,1
particular access,1
low cost,3
a priority,6
vocation,1
the future,23
a real challenge,1
no access,1
this vocation,1
a responsible manner,4
an effective contribution,3
the climate,15
challenge,4
global population,1
consumption,34
the economic development,4
a daily basis,6
cleaner,2
the environmental footprint,9
the impact,56
climate change,22
a mix,2
carbon,32
intensity,22
clear strategy,1
this ambition,4
the competitiveness,3
the large integrated refining,1
petrochemical,8
priority,18
the production,67
liquefied natural gas,14
the fossil,1
fuel,40
amount,60
dioxide,8
constant concern,1
a competitive cost,1
strict investment,2
the supply,11
reporting,23
expand,1
the full gas,2
value,187
chain,55
profitable growth,4
the low carbon,4
distribution,29
addition,158
use,66
the circular economy,11
a program,4
solarization,1
efficiency,41
integrated business,13
geographic presence,2
history,12
producer,4
the creation,14
française,3
this time,3
the gas,22
solar power,6
creation,6
belge,1
discovery,15
field,111
commissioning,1
refinery,27
an annual capacity,1
t,10
crude oil,47
brand,8
steam,15
cracker,14
demand,22
the first offshore,1
an important player,1
dactivités,1
the merger,3
a joint venture,10
industry,42
the first deep,1
the company,86
subsidiary,26
a part,1
the first self,1
station,7
the incorporation,4
disposal,12
the french state,2
majority,9
stake,70
the capital,23
name,3
the solar energy,1
the acquisition,115
a battery,1
manufacturer,1
belgian company,1
a supplier,3
green electricity,1
announcement,1
a share,16
transaction,5
distributor,4
the heart,10
represent,3
the part,3
identity,4
an exemplary manner,1
security,53
environment,56
integrity,11
the prevention,8
fraud,31
strict adherence,2
this course,2
action,31
commitment,45
training,56
support job,1
a competitive edge,1
an image,1
the diversity,8
competitiveness,5
innovative capacity,2
attractiveness,2
a global player,1
the workforce,3
wide range,1
such diversity,1
an essential asset,1
the capacity,9
an entrepreneurial spirit,1
everyone,5
the opportunity,6
meaning,1
the presence,16
head,6
the head,5
order,174
the representation,2
a goal,2
this reality,1
desire,2
a vector,3
innovation,14
a member,61
collective,2
the planet,3
individual commitment,1
forward,6
this diversity,1
an invaluable asset,1
the success,5
the commitment,11
this reason,2
demanding safety,1
social performance,3
the aim,20
this process,12
a proactive approach,1
discrimination,11
the safety,23
the respect,6
a long standing,3
equal opportunity,5
constitute,1
talent,1
count,1
social dialogue,11
regular dialogue,3
position,31
role,11
this approach,15
adhesion,1
international multi,1
party,11
initiative,8
globalization,1
collective bargaining,1
trade,14
union,7
freedom,4
an essential role,2
the fulfillment,9
the signing,10
a global agreement,1
the trade,2
federation,4
the goal,4
the partnership,7
this agreement,11
place,128
a managerial policy,1
accountability,3
evaluation,21
geographic mobility,1
employability,9
course,7
ability,14
operational excellence,5
trust,4
deep offshore,8
high performance,3
function,26
a wide range,4
improvement,21
a continuous improvement,1
process,76
resilient,1
volatility,5
this constraint,1
possible total,1
an integrated business,3
liquefaction,20
this business,3
price,150
the bottom,2
the cycle,3
capture,13
margin,7
the market,48
the price,29
part,153
the effectiveness,13
high oil,1
the same model,1
the generation,5
an annual survey,2
relevant integrated business,1
renewableselectricity,1
the growth,10
global demand,1
light,15
the digitization,1
the economy,4
the mobility,4
revolution,1
generation,9
the same time,7
population,5
this integrated business,1
the electricity,3
integration,7
the trading,11
the sale,48
the producer,1
storage,48
future,13
pioneer,4
spirit,1
sense,4
solidarity,3
a worldwide oil,1
host,7
loyal,1
geopolitical uncertainty,3
lasting geographic presence,1
partner,9
strategy,84
today,6
time,41
the core,3
home,1
decisionmaking,1
center,11
the hub,1
research,14
a strong industrial base,1
this region,4
a partner,6
choice,5
national oil,1
all business,2
geopolitical tension,1
the volume,8
hydrocarbon,46
continent,1
a strong growth,2
opportunity,2
high rate,1
long term,47
relationship,6
tension,1
war,1
international terrorism,1
this context,11
the benefit,17
a level,4
exposure,37
the approach,4
the re imposition,7
such kind,1
a strong characteristic,1
the framework,24
internal control,39
reasonable vigilance,2
a stabilizing factor,1
local socio,1
economic development,6
respect,72
societal,3
environmental responsibility,12
operating,70
a local value,1
systematic professional,1
a major competitive advantage,1
dialogue,20
the local population,1
the long term,19
prosperity,1
general interest,1
the face,3
inequality,1
public interest,4
a new civic commitment,1
line,41
a way,3
the vitality,1
sustainability,7
corporate citizenship,2
focus,7
program,96
dentreprise,15
road,19
mobility,16
beneficial environment,1
education,9
heritage,7
cultural openness,2
appreciation,3
the time,22
contribute,5
a voluntary basis,7
the possibility,10
working time,4
local solidarity,3
strict discipline,8
the rise,2
average,6
an increase,27
a return,1
a pre dividend,1
the strong growth,3
a record,1
level,62
increase,73
the year,165
the start,20
deep water,2
the counter,6
new offshore,1
financial discipline,3
objective,5
cost,100
reduction,31
balance,31
the target,28
limit,13
the value,22
integrated gas,5
acquisition,46
an environment,4
the availability,2
portfolio,35
profitability,12
the solid financial position,3
the interim dividend,4
euro,6
end,59
the scrip dividend,13
option,44
the general assembly,1
the share,78
buyback,18
the amount,51
an ajusted net income,1
replacement,36
number,52
adjusted net,8
net income,58
a b,6
c,32
ratio d,1
h,5
fair value,85
weighted average number,2
the fiscal year,54
the adjusted net income,1
the perpetual subordinated bond,1
subject,20
f,16
repayment,9
asset,40
the inventory,8
valuation,57
effect,63
k,36
european refinery,1
indicator,18
a t,1
the margin,5
a hypothetical complex refinery,2
loss,39
inventory,19
ef,1
operational income,2
the full year,6
the contribution,12
the increase,17
the strong production,1
the result,13
a strong increase,1
the aftertax inventory,1
the effective tax,2
effective rate,1
relation,17
interest,206
re,1
terminal,13
an interest,27
sale,63
the marketing,6
network,21
polyethylene,10
the joint venture,18
the extension,3
a network,22
liquids price,2
hydrocarbon price,1
the average,15
realized price,1
combined production,5
last year,4
start,8
the addition,5
the expiration,4
permit,4
natural field,3
strong production,2
the tax,14
boe,11
the good performance,2
the negative cash,2
total refinery,1
throughput,9
the second quarter,8
crude,20
a decrease,12
the previous year,5
international trading,2
bulk,1
the rest,5
fiscal year,147
a full year,3
the payment,48
the period,74
the parent,27
an annual dividend,2
the context,6
the renewal,11
the final dividend,8
payment,43
short term,12
current financial debt,3
noncurrent debt,16
financial debt,22
net debt,22
a net cash,1
b net debtnet,1
net cash,8
this variation,1
the strong hydrocarbon,1
financial strength,1
borrowing,4
funding,3
longterm debt,1
a fixed rate,3
longterm interest,3
currency,48
issuance,15
synthetic debt,2
the longterm debt,2
the noncurrent financial debt,1
the corporate treasury,2
longterm financial debt,1
the effect,24
bond,12
tranche,1
the nature,15
combining,1
the purchase,30
stock,49
the risk,43
this indexation,1
this combination,1
a nondilutive synthetic instrument,1
equivalent,12
a standard bond,1
maturity,12
the nominal amount,1
bank,9
advance,5
an assessment,8
the counterpartys financial soundness,2
multicriteria,2
analysis,43
a review,6
high quality,6
overall financial condition,2
an overall authorized credit,2
each bank,2
central treasury,3
the back,1
margin call,2
the aggregate amount,5
credit,49
significant liquidity,1
these credit,2
the occurrence,5
a material adverse effect,10
the borrowing,3
affiliate,10
a specific project,2
the use,29
capital dividend,1
the current financing,1
the financing,8
a context,3
supply,22
the recordhigh level,1
a volatile environment,1
integrated growth,1
clear visibility,1
the strong contribution,1
project start,1
breakeven,7
range,1
a production,14
target,30
ups,1
advantage,5
the favorable cost,1
the new igrp,1
the upstream,6
an abundance,1
european refining,1
diversified portfolio,2
non cyclical marketing,1
the dividend,22
the objective,4
strong financial position,1
the scrip,4
sensitivity,13
the global presence,1
the description,3
commercial situation,1
the last fiscal year,6
patent,4
a dynamic rd,1
the portfolio,9
operational efficiency,5
smart electricity,3
an energy,10
mix,12
digital technology,5
example,53
the purpose,7
usage,1
transverse program,1
a major player,5
this area,19
the reduction,7
new business,3
human talent,1
infrastructure,9
excellence,3
specific highlevel,1
every project,2
favorable market,2
resource,6
strong growth,2
lowcarbon,3
buoyant,1
the fall,1
new upstream,1
downstream,15
a favorable cost,1
a direct contribution,1
therefore,9
an opportunity,3
measure,9
sustainable development,7
profit,16
preservation,7
the environment,59
every country,2
positive manner,1
the industry,6
measurable improvement,1
the health,14
a benchmark,3
zero,4
close proximity,2
regular medical monitoring,3
a responsible company,8
the environmental performance,1
air,21
content,11
water,51
mgl,10
offshore,20
onshore,21
ofshore,1
the waste,9
sulfur,3
the combustion,2
the routine flaring,1
an average,9
the intensity,5
methane,18
the commercial gas,7
emission,21
efciency,3
an intensity,4
the methane,7
the carbon,9
the date,70
agreement,38
ie,16
a reduction,8
